shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
818657,261,6,"[11, 10]","[6, 10, 6]",22,"[[11, 10]]",['BJ'],[['S']],-4,0,1.5
818657,256,4,"[6, 6]","[4, 11, 10, 10]",25,"[[6, 9], [6, 8]]","[15, 14]","[['P', 'S'], ['S']]",-5,-1,2
818657,248,7,"[3, 10]","[7, 2, 5, 11, 3]",18,"[[3, 10, 10]]",[23],[['H']],-5,-1,-1
818657,240,5,"[7, 5]","[5, 6, 7]",18,"[[7, 5]]",[12],[['S']],-4,0,-1
818657,235,10,"[4, 2]","[10, 4, 3]",17,"[[4, 2, 4, 10]]",[20],"[['H', 'H', 'S']]",-1,0,1
818657,228,4,"[11, 10]","[4, 6, 2, 2, 6]",20,"[[11, 10]]",['BJ'],[['S']],2,0,1.5
818657,221,7,"[6, 2]","[7, 4, 5, 10]",26,"[[6, 2, 10]]",[18],"[['H', 'S']]",5,1,1
818657,214,4,"[10, 11]","[4, 2, 8, 10]",24,"[[10, 11]]",['BJ'],[['S']],7,1,1.5
818657,208,10,"[11, 7]","[10, 11]",BJ,"[[11, 7]]",[18],[[]],6,1,-1
818657,204,7,"[10, 8]","[7, 3, 7]",17,"[[10, 8]]",[18],[['S']],3,0,1
818657,199,10,"[9, 7]","[10, 3, 6]",19,"[[9, 7]]",[16],[['R']],3,0,-0.5
818657,194,10,"[3, 8]","[10, 10]",20,"[[3, 8, 9]]",[20],[['D']],4,1,0
818657,189,5,"[10, 10]","[5, 4, 5, 10]",24,"[[10, 10]]",[20],[['S']],3,0,1
818657,183,10,"[11, 11]","[10, 3, 3, 10]",26,"[[11, 7], [11, 3]]","[18, 14]","[['P'], []]",3,0,2
818657,175,9,"[8, 2]","[9, 9]",18,"[[8, 2, 7]]",[17],[['D']],2,0,-2
818657,170,8,"[9, 11]","[8, 8, 10]",26,"[[9, 11]]",[20],[['S']],3,0,1
818657,165,11,"[10, 3]","[11, 11, 5, 5, 8]",20,"[[10, 3, 8]]",[21],"[['N', 'H', 'S']]",1,0,1
818657,157,10,"[9, 4]","[10, 10]",20,"[[9, 4, 10]]",[23],[['H']],1,0,-1
818657,152,4,"[6, 10]","[4, 9, 4]",17,"[[6, 10]]",[16],[['S']],-1,0,-1
818657,147,9,"[10, 10]","[9, 11]",20,"[[10, 10]]",[20],[['S']],1,0,0
818657,143,9,"[6, 11]","[9, 10]",19,"[[6, 11, 10]]",[17],"[['H', 'S']]",-2,0,-1
818657,138,3,"[6, 11]","[3, 10, 6]",19,"[[6, 11, 11]]",[18],[['D']],-4,-1,-2
818657,132,10,"[2, 8]","[10, 8]",18,"[[2, 8, 2, 7]]",[19],"[['H', 'H', 'S']]",-4,-1,1
818657,126,4,"[11, 2]","[4, 10, 10]",24,"[[11, 2, 11, 4]]",[18],"[['H', 'H', 'S']]",-3,-1,1
818657,119,9,"[10, 8]","[9, 9]",18,"[[10, 8]]",[18],[['S']],-4,-1,0
818657,115,3,"[6, 10]","[3, 8, 10]",21,"[[6, 10]]",[16],[['S']],-5,-2,-1
818657,110,9,"[2, 10]","[9, 8]",17,"[[2, 10, 5]]",[17],"[['H', 'S']]",-5,-2,0
818657,105,6,"[5, 10]","[6, 11, 2]",19,"[[5, 10]]",[15],[['S']],-4,-1,-1
818657,100,7,"[10, 10]","[7, 10]",17,"[[10, 10]]",[20],[['S']],-3,-1,1
818657,96,7,"[4, 6]","[7, 6, 3, 11]",17,"[[4, 6, 7]]",[17],[['D']],-6,-3,0
818657,89,2,"[2, 10]","[2, 3, 10, 10]",25,"[[2, 10, 7]]",[19],"[['H', 'S']]",-3,-1,1
818657,82,10,"[5, 9]","[10, 10]",20,"[[5, 9, 4]]",[18],"[['H', 'S']]",-3,-1,-1
818658,416,2,"[4, 10]","[2, 10, 10]",22,"[[4, 10]]",[14],[['S']],1,0,1
818658,411,4,"[4, 7]","[4, 10, 5]",19,"[[4, 7, 7]]",[18],[['D']],0,0,-2
818658,405,10,"[9, 2]","[10, 4, 4]",18,"[[9, 2, 4]]",[15],[['D']],2,0,-2
818658,399,10,"[2, 2]","[10, 7]",17,"[[2, 2, 10, 3]]",[17],"[['H', 'H', 'S']]",5,0,0
818658,393,7,"[5, 6]","[7, 10]",17,"[[5, 6, 8]]",[19],[['D']],6,0,2
818658,388,9,"[5, 10]","[9, 11]",20,"[[5, 10, 6]]",[21],"[['H', 'S']]",7,0,1
818658,383,6,"[4, 6]","[6, 7, 6]",19,"[[4, 6, 8]]",[18],[['D']],7,0,-2
818658,377,10,"[7, 10]","[10, 2, 4, 9]",25,"[[7, 10]]",[17],[['S']],11,1,1
818658,371,3,"[7, 11]","[3, 3, 2, 10]",18,"[[7, 11, 2]]",[20],[['D']],11,1,2
818658,364,10,"[5, 11]","[10, 5, 8]",23,"[[5, 11, 11, 11, 7, 7]]",[22],"[['H', 'H', 'H', 'H']]",13,1,-1
818658,355,4,"[9, 10]","[4, 4, 11]",19,"[[9, 10]]",[19],[['S']],11,1,0
818658,350,2,"[10, 5]","[2, 9, 5, 10]",26,"[[10, 5]]",[15],[['S']],11,1,1
818658,344,2,"[10, 10]","[2, 4, 5, 6]",17,"[[10, 10]]",[20],[['S']],12,1,1
818658,338,10,"[5, 2]","[10, 10]",20,"[[5, 2, 9, 10]]",[26],"[['H', 'H']]",14,2,-1
818658,332,10,"[2, 11]","[10, 9]",19,"[[2, 11, 10, 10]]",[23],"[['H', 'H']]",13,2,-1
818658,326,11,"[4, 6]","[11, 5, 5]",21,"[[4, 6, 4, 10]]",[24],"[['N', 'H', 'H']]",10,1,-1
818658,319,10,"[4, 7]","[10, 9]",19,"[[4, 7, 10]]",[21],[['D']],13,2,2
818658,314,6,"[6, 6]","[6, 10, 7]",23,"[[6, 10], [6, 4, 10]]","[16, 20]","[['P', 'S'], ['D']]",12,1,3
818658,306,11,"[6, 11]","[11, 7]",18,"[[6, 11, 4]]",[21],"[['N', 'H', 'S']]",13,2,1
818658,301,10,"[10, 4]","[10, 3, 10]",23,"[[10, 4, 10]]",[24],[['H']],13,2,-1
818658,295,6,"[7, 2]","[6, 9, 10]",25,"[[7, 2, 8]]",[17],[['D']],11,1,2
818658,289,4,"[10, 10]","[4, 6, 10]",20,"[[10, 10]]",[20],[['S']],12,2,0
818658,284,8,"[11, 6]","[8, 10]",18,"[[11, 6, 5, 5]]",[17],"[['H', 'H', 'S']]",11,2,-1
818658,278,9,"[8, 8]","[9, 10]",19,"[[8, 10], [8, 3, 3], [8, 6, 3]]","[18, 14, 17]","[['P', 'P', 'S'], ['D'], ['H', 'S']]",12,2,-4
818658,268,11,"[10, 10]","[11, 5, 10, 11]",17,"[[10, 10]]",[20],"[['N', 'S']]",14,2,1
818658,262,2,"[7, 9]","[2, 10, 10]",22,"[[7, 9]]",[16],[['S']],10,1,1
818658,257,3,"[10, 3]","[3, 10, 11, 11, 6]",21,"[[10, 3]]",[13],[['S']],9,1,-1
818658,250,3,"[10, 9]","[3, 10, 2, 10]",25,"[[10, 9]]",[19],[['S']],8,1,1
818658,244,7,"[8, 10]","[7, 3, 8]",18,"[[8, 10]]",[18],[['S']],7,1,0
818658,239,9,"[9, 8]","[9, 2, 2, 10]",23,"[[9, 8]]",[17],[['S']],7,1,1
818658,233,10,"[10, 10]","[10, 11]",BJ,"[[10, 10]]",[20],[[]],8,1,-1
818658,229,3,"[10, 5]","[3, 6, 11]",20,"[[10, 5]]",[15],[['S']],4,0,-1
818658,224,2,"[10, 8]","[2, 6, 9]",17,"[[10, 8]]",[18],[['S']],5,1,1
818658,219,5,"[9, 10]","[5, 10, 3]",18,"[[9, 10]]",[19],[['S']],6,1,1
818658,214,11,"[2, 10]","[11, 5, 10, 10]",26,"[[2, 10, 5]]",[17],"[['N', 'H', 'S']]",6,1,1
818658,207,5,"[6, 10]","[5, 10, 5]",20,"[[6, 10]]",[16],[['S']],5,1,-1
818658,202,10,"[10, 7]","[10, 6, 6]",22,"[[10, 7]]",[17],[['S']],6,1,1
818658,197,10,"[10, 5]","[10, 11]",BJ,"[[10, 5]]",[15],[[]],6,1,-1
818658,193,6,"[8, 4]","[6, 8, 6]",20,"[[8, 4]]",[12],[['S']],4,1,-1
818658,188,10,"[3, 5]","[10, 9]",19,"[[3, 5, 10]]",[18],"[['H', 'S']]",7,1,-1
818658,183,3,"[10, 3]","[3, 2, 10, 10]",25,"[[10, 3]]",[13],[['S']],7,1,1
818658,177,10,"[10, 3]","[10, 6, 6]",22,"[[10, 3, 2, 6]]",[21],"[['H', 'H', 'S']]",7,2,1
818658,170,6,"[3, 10]","[6, 10, 8]",24,"[[3, 10]]",[13],[['S']],10,3,1
818658,165,9,"[10, 3]","[9, 9]",18,"[[10, 3, 10]]",[23],[['H']],10,3,-1
818658,160,3,"[4, 7]","[3, 3, 2, 4, 9]",21,"[[4, 7, 9]]",[20],[['D']],9,2,-2
818658,152,10,"[10, 10]","[10, 9]",19,"[[10, 10]]",[20],[['S']],14,4,1
818658,148,4,"[6, 8]","[4, 2, 8, 8]",22,"[[6, 8]]",[14],[['S']],11,3,1
818658,142,8,"[5, 10]","[8, 10]",18,"[[5, 10, 10]]",[25],[['H']],14,5,-1
818658,137,10,"[2, 10]","[10, 10]",20,"[[2, 10, 11, 8]]",[21],"[['H', 'H', 'S']]",12,4,1
818658,131,11,"[10, 10]","[11, 7]",18,"[[10, 10]]",[20],"[['N', 'S']]",9,3,1
818658,127,3,"[10, 5]","[3, 7, 10]",20,"[[10, 5]]",[15],[['S']],6,2,-1
818658,122,4,"[10, 2]","[4, 5, 2, 7]",18,"[[10, 2]]",[12],[['S']],6,2,-1
818658,116,7,"[5, 2]","[7, 7, 11, 3]",18,"[[5, 2, 5, 4, 9]]",[25],"[['H', 'H', 'H']]",9,4,-1
818658,107,10,"[3, 5]","[10, 11]",BJ,"[[3, 5]]",[8],[[]],13,6,-1
818658,103,10,"[8, 7]","[10, 10]",20,"[[8, 7]]",[15],[['R']],13,6,-0.5
818658,99,10,"[9, 8]","[10, 4, 11, 8]",23,"[[9, 8]]",[17],[['S']],11,5,1
818658,93,10,"[10, 6]","[10, 10]",20,"[[10, 6]]",[16],[['R']],10,5,-0.5
818658,89,2,"[4, 3]","[2, 6, 6, 10]",24,"[[4, 3, 7]]",[14],"[['H', 'S']]",8,4,1
818658,82,10,"[4, 10]","[10, 9]",19,"[[4, 10, 2, 10]]",[26],"[['H', 'H']]",12,7,-1
818659,416,10,"[3, 7]","[10, 10]",20,"[[3, 7, 10]]",[20],"[['H', 'S']]",-1,0,0
818659,411,10,"[10, 10]","[10, 3, 10]",23,"[[10, 10]]",[20],[['S']],-3,0,1
818659,406,7,"[3, 2]","[7, 11]",18,"[[3, 2, 7, 10]]",[22],"[['H', 'H']]",-6,0,-1
818659,400,6,"[10, 8]","[6, 8, 5]",19,"[[10, 8]]",[18],[['S']],-6,0,-1
818659,395,8,"[8, 4]","[8, 4, 8]",20,"[[8, 4, 11, 2, 7]]",[22],"[['H', 'H', 'H']]",-5,0,-1
818659,387,6,"[5, 10]","[6, 10, 5]",21,"[[5, 10]]",[15],[['S']],-3,0,-1
818659,382,10,"[10, 5]","[10, 10]",20,"[[10, 5]]",[15],[['R']],-2,0,-0.5
818659,378,10,"[11, 10]","[10, 9]",19,"[[11, 10]]",['BJ'],[['S']],-4,0,1.5
818659,374,8,"[2, 6]","[8, 7, 3]",18,"[[2, 6, 10]]",[18],"[['H', 'S']]",-7,0,0
818659,368,3,"[9, 3]","[3, 9, 8]",20,"[[9, 3, 10]]",[22],[['H']],-5,0,-1
818659,362,10,"[10, 2]","[10, 4, 7]",21,"[[10, 2, 9]]",[21],"[['H', 'S']]",-4,0,0
818659,356,9,"[10, 8]","[9, 9]",18,"[[10, 8]]",[18],[['S']],-4,0,0
818659,352,9,"[10, 10]","[9, 10]",19,"[[10, 10]]",[20],[['S']],-5,0,1
