dealer_up,initial_hand,actions_taken
10,"[11, 10]",[['S']]
9,"[10, 8]",[['S']]
4,"[10, 10]",[['S']]
2,"[6, 5]",[['D']]
10,"[10, 10]",[['S']]
7,"[10, 9]",[['S']]
11,"[9, 10]","[['N', 'S']]"
9,"[11, 10]",[['S']]
11,"[7, 3]","[['N', 'H', 'S']]"
9,"[4, 7]",[['D']]
11,"[6, 4]","[['N', 'H', 'H', 'S']]"
6,"[11, 7]",[['D']]
3,"[10, 2]","[['H', 'S']]"
8,"[9, 10]",[['S']]
9,"[10, 2]","[['H', 'S']]"
6,"[11, 10]",[['S']]
10,"[3, 10]","[['H', 'S']]"
6,"[3, 2]","[['H', 'H', 'S']]"
5,"[9, 10]",[['S']]
2,"[10, 10]",[['S']]
2,"[10, 10]",[['S']]
9,"[11, 2]","[['H', 'H', 'S']]"
11,"[6, 2]","[['N', 'H', 'S']]"
6,"[8, 10]",[['S']]
9,"[11, 8]",[['S']]
10,"[4, 4]","[['H', 'S']]"
3,"[8, 9]",[['S']]
5,"[2, 7]",[['D']]
9,"[4, 4]","[['H', 'H', 'H', 'S']]"
7,"[10, 10]",[['S']]
10,"[4, 5]","[['H', 'S']]"
5,"[10, 3]",[['S']]
8,"[9, 11]",[['S']]
2,"[4, 10]",[['S']]
9,"[4, 10]","[['H', 'S']]"
8,"[10, 10]",[['S']]
10,"[2, 7]","[['H', 'H', 'S']]"
9,"[10, 11]",[['S']]
5,"[10, 10]",[['S']]
10,"[4, 2]","[['H', 'H', 'S']]"
10,"[2, 6]","[['H', 'H', 'S']]"
2,"[8, 10]",[['S']]
8,"[10, 8]",[['S']]
10,"[10, 11]",[['S']]
6,"[4, 4]","[['P', 'H', 'S'], ['D']]"
3,"[4, 11]","[['H', 'S']]"
2,"[10, 7]",[['S']]
8,"[10, 10]",[['S']]
11,"[10, 10]","[['N', 'S']]"
9,"[7, 4]",[['D']]
3,"[10, 5]",[['S']]
10,"[10, 10]",[['S']]
6,"[10, 6]",[['S']]
3,"[10, 8]",[['S']]
10,"[5, 11]","[['H', 'S']]"
7,"[11, 10]",[['S']]
8,"[10, 4]","[['H', 'S']]"
4,"[10, 8]",[['S']]
4,"[11, 10]",[['S']]
11,"[5, 5]","[['N', 'H', 'S']]"
5,"[10, 10]",[['S']]
5,"[10, 7]",[['S']]
4,"[6, 3]",[['D']]
8,"[8, 10]",[['S']]
4,"[7, 4]",[['D']]
9,"[11, 7]","[['H', 'S']]"
10,"[10, 10]",[['S']]
10,"[11, 6]","[['H', 'S']]"
4,"[2, 9]",[['D']]
4,"[11, 10]",[['S']]
10,"[10, 8]",[['S']]
9,"[10, 10]",[['S']]
4,"[4, 10]",[['S']]
10,"[4, 5]","[['H', 'H', 'S']]"
5,"[10, 10]",[['S']]
10,"[10, 2]","[['H', 'S']]"
10,"[2, 3]","[['H', 'H', 'S']]"
3,"[10, 10]",[['S']]
