dealer_up,initial_hand,actions_taken,win
9,"[6, 3]","[['H', 'H', 'H']]",0
10,"[8, 9]",[['S']],0
5,"[9, 9]","[['P', 'S'], ['S']]",0
4,"[10, 8]",[['S']],0
7,"[5, 2]","[['H', 'H', 'S']]",1
5,"[7, 2]",[['D']],0
10,"[2, 10]",[['H']],0
11,"[5, 11]",[['N']],0
4,"[3, 10]",[['S']],0
5,"[5, 8]",[['S']],1
4,"[9, 10]",[['S']],0
10,"[9, 10]",[['S']],0
8,"[11, 10]",[['S']],1
6,"[8, 10]",[['S']],0
10,"[2, 10]","[['H', 'H']]",0
10,"[10, 11]",[['S']],1
2,"[8, 10]",[['S']],0
